09203457.jpg - 09.09.2011 20:34 X(m): -1940.94, Y(m): 1714.13, Alt(m): 1.73, Depth(m): 33.52, V(m/s): 0.10, Heading(deg): 105.5, Pitch(deg): -0.6, Flash time: 8
09203459.jpg - 09.09.2011 20:34 X(m): -1940.80, Y(m): 1713.98, Alt(m): 1.73, Depth(m): 33.55, V(m/s): 0.10, Heading(deg): 104.8, Pitch(deg): -0.6, Flash time: 8
09203501.jpg - 09.09.2011 20:35 X(m): -1940.66, Y(m): 1713.83, Alt(m): 1.73, Depth(m): 33.51, V(m/s): 0.10, Heading(deg): 104.0, Pitch(deg): -0.6, Flash time: 8
09203503.jpg - 09.09.2011 20:35 X(m): -1940.53, Y(m): 1713.69, Alt(m): 1.71, Depth(m): 33.53, V(m/s): 0.10, Heading(deg): 103.3, Pitch(deg): -0.6, Flash time: 8
09203505.jpg - 09.09.2011 20:35 X(m): -1940.40, Y(m): 1713.55, Alt(m): 1.70, Depth(m): 33.53, V(m/s): 0.10, Heading(deg): 102.7, Pitch(deg): -0.6, Flash time: 8
09203507.jpg - 09.09.2011 20:35 X(m): -1940.26, Y(m): 1713.40, Alt(m): 1.70, Depth(m): 33.53, V(m/s): 0.10, Heading(deg): 102.0, Pitch(deg): -0.3, Flash time: 8
09203509.jpg - 09.09.2011 20:35 X(m): -1940.12, Y(m): 1713.26, Alt(m): 1.69, Depth(m): 33.53, V(m/s): 0.10, Heading(deg): 101.3, Pitch(deg): -0.3, Flash time: 8
09203511.jpg - 09.09.2011 20:35 X(m): -1939.99, Y(m): 1713.13, Alt(m): 1.70, Depth(m): 33.48, V(m/s): 0.10, Heading(deg): 100.8, Pitch(deg): 0.0, Flash time: 8
09203513.jpg - 09.09.2011 20:35 X(m): -1939.84, Y(m): 1712.99, Alt(m): 1.71, Depth(m): 33.51, V(m/s): 0.10, Heading(deg): 100.2, Pitch(deg): 0.0, Flash time: 8
09203515.jpg - 09.09.2011 20:35 X(m): -1939.70, Y(m): 1712.86, Alt(m): 1.72, Depth(m): 33.48, V(m/s): 0.10, Heading(deg): 99.9, Pitch(deg): 0.0, Flash time: 8
09203517.jpg - 09.09.2011 20:35 X(m): -1939.55, Y(m): 1712.74, Alt(m): 1.72, Depth(m): 33.49, V(m/s): 0.10, Heading(deg): 99.8, Pitch(deg): 0.3, Flash time: 8
09203519.jpg - 09.09.2011 20:35 X(m): -1939.39, Y(m): 1712.61, Alt(m): 1.71, Depth(m): 33.50, V(m/s): 0.10, Heading(deg): 99.8, Pitch(deg): 0.3, Flash time: 8
